period,fixed_period,interest
2023-02-01,<= 1 year,3.97
2023-02-01,>10 years,3.12
2023-03-01,1>5 years,4.34
2023-03-01,5>10 years,3.39
2023-03-01,<= 1 year,4.14
2023-03-01,>10 years,3.01
2023-04-01,1>5 years,4.41
2023-04-01,5>10 years,3.53
2023-04-01,<= 1 year,4.24
2023-04-01,>10 years,3.18
2023-05-01,1>5 years,4.46
2023-05-01,5>10 years,3.67
2023-05-01,<= 1 year,4.29
2023-05-01,>10 years,3.3
2023-06-01,1>5 years,4.39
2023-06-01,5>10 years,3.7
2023-06-01,<= 1 year,4.41
2023-06-01,>10 years,3.36
2023-07-01,1>5 years,4.48
2023-07-01,5>10 years,3.76
2023-07-01,<= 1 year,4.56
2023-07-01,>10 years,3.29
2023-08-01,1>5 years,4.56
2023-08-01,5>10 years,3.75
2023-08-01,<= 1 year,4.63
2023-08-01,>10 years,3.27
